Modelo,Motor,Hardware,Tarea,Numero de Problemas,Numero de Lotes,Tamaño Batch,Precisión,Energía (kWh),Energía (J),CO2 (kg),EDP (J*s),Tokens Prompt,Tokens Generados,TTFT Medio (s),TPOT (s/token),Throughput Decode (tok/s),Throughput Total (tok/s),Inferencia Media (s),Energía (J/token gen),cuantización,Attention Implementation
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,mmlu,1140,285,4,57.98245614035088,0.0053429818179515495,19234.73454462558,0.0009299459854144672,1556377.1416536996,170633,2280,0.24049268772727564,0.005427417106795729,184.24970484540222,2136.972823168639,0.2839120245816415,8.43628708097613,16,FLASH_ATTN
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,mmlu,1140,285,4,58.07017543859649,0.0052864253516263756,19031.13126585495,0.0009201023324505708,1542322.9511573347,170633,2280,0.24108954228852925,0.005408590404610885,184.89105759376577,2133.6192903720103,0.2843582655254163,8.346987397304803,16,TRITON_ATTN
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,mmlu,1140,285,4,57.80701754385965,0.006022361167966394,21680.500204679018,0.0010481919612845508,1888765.8751845947,170633,2280,0.25884875665631213,0.005853636641251414,170.83397232975773,1984.8094362279166,0.3056778497863234,9.508991317841675,16,FLEX_ATTENTION
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,mmlu,1140,72,16,57.19298245614035,0.0036825452644743692,13257.162952107728,0.000640947003281764,719840.0839749465,170633,2280,0.7034475339783562,0.0016008673007028144,624.6613942086136,3184.507043397137,0.7541416651672788,5.8145451544332145,16,FLASHINFER
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,mmlu,1140,72,16,57.54385964912281,0.0036224648784690624,13040.873562488625,0.0006304900120975404,717470.924865167,170633,2280,0.7127209140194787,0.0016233267491323907,616.018925662664,3142.8960981720084,0.7641262610753378,5.719681387056414,16,FLASH_ATTN
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,mmlu,1140,72,16,58.15789473684211,0.003679677778863128,13246.840003907262,0.0006404479174111275,729862.834998957,170633,2280,0.7130840321381887,0.0016469637552897136,607.177903453068,3138.3305680976205,0.7652378843890296,5.810017545573361,16,TRITON_ATTN
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,mmlu,1140,72,16,57.80701754385965,0.0042897756813460525,15443.19245284579,0.0007466354573382805,956428.0883374879,170633,2280,0.7972063190407224,0.001988229835242556,502.95996080252166,2791.980671793763,0.8601669304900699,6.773330023177977,16,FLEX_ATTENTION
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,mmlu,1140,36,32,57.54385964912281,0.0034443094133072474,12399.51388790609,0.0005994820533861264,637985.3835819799,170633,2280,1.3418006367153592,0.001380538731290583,724.3549038752138,3360.6367795791375,1.4292347563637628,5.438383284169338,16,FLASHINFER
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,mmlu,1140,36,32,57.89473684210527,0.00354771769243491,12771.783692765675,0.0006174802643682961,669410.6242544152,170633,2280,1.3679365979300604,0.0013892663152594315,719.8043953244919,3299.0325424352204,1.4559234645631578,5.60165951437091,16,FLASH_ATTN
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,mmlu,1140,36,32,57.80701754385965,0.00355092797127682,12783.340696596551,0.0006180390134007305,668130.5498311411,170633,2280,1.3610557913780212,0.0014332083233615808,697.7352724651406,3308.3441408707363,1.451825651857588,5.606728375700242,16,TRITON_ATTN
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,mmlu,1140,36,32,57.80701754385965,0.0041369141403298105,14892.890905187318,0.0007200299061244036,889899.8958117343,170633,2280,1.5511906875504389,0.0017151184249342534,583.0501179755757,2893.779915256282,1.6598148544629414,6.531969695257596,16,FLEX_ATTENTION
