Modelo,Motor,Hardware,Tarea,Numero de Problemas,Numero de Lotes,Tamaño Batch,Precisión,Energía (kWh),Energía (J),CO2 (kg),EDP (J*s),Tokens Prompt,Tokens Generados,TTFT Medio (s),TPOT (s/token),Throughput Decode (tok/s),Throughput Total (tok/s),Inferencia Media (s),Energía (J/token gen)," cuantización"
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,mmlu,1140,1140,1,58.15789473684211,0.011465312933566335,41275.126560838806,0.001995537716087221,6970384.2040731115,170633,2280,0.10796176822561966,0.0200875999634726,49.781955127461984,1023.9042425873519,0.14813696815256486,18.103125684578423,16
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,mmlu,1140,285,4,57.98245614035088,0.005497915450431874,19792.495621554746,0.0009569121841476677,1600570.0468226569,170633,2280,0.2403031918040493,0.0054303118011407685,184.15148827916764,2138.225566699672,0.2837456862131755,8.680919132260854,16
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,mmlu,1140,72,16,57.45614035087719,0.0037235495062439058,13404.77822247806,0.0006480837915617518,736315.2835005247,170633,2280,0.7113356325361464,0.0016285742584027743,614.0340207641198,3147.918383228422,0.7629071507189009,5.8792886940693245,16
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,mmlu,1140,36,32,57.54385964912281,0.0035356193693059034,12728.229729501252,0.0006153745512276925,664419.9804176647,170633,2280,1.3623099856906467,0.0013847993131269488,722.1262969447522,3312.4777280685403,1.4500139421886868,5.582556898904058,16
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,mmlu,1140,18,64,57.719298245614034,0.0034063485471609958,12262.854769779586,0.0005928749646333713,613254.8123901295,170633,2280,2.6714051034715443,0.0008437927354846084,1185.1251592319984,3457.6279940514755,2.778285516632928,5.3784450744647305,16
Qwen/Qwen2.5-Coder-3B-Instruct,vllm,cuda,mmlu,1140,9,128,57.89473684210527,0.0033289075003046635,11984.067001096788,0.0005793963504280267,586563.1500824244,170633,2280,5.287889189190334,0.0005939679187640809,1683.5926123430777,3532.7841121104543,5.438361061943902,5.256169737323153,16
Qwen/Qwen2.5-Coder-3B-Instruct,hf,cuda,humaneval,164,164,1,70.1219512195122,0.04078585703656283,146829.08533162618,0.007098778417213761,88620341.44397624,51675,13744,0.06502597506453352,0.04313860282007002,23.181093837715924,108.38834264006955,3.6802513235952796,10.683140667318552,16
Qwen/Qwen2.5-Coder-3B-Instruct,hf,cuda,humaneval,164,41,4,71.34146341463415,0.027403010335923177,98650.83720932344,0.004769493948967429,40629046.801273234,62772,24460,0.3303016918461497,0.01628391596497031,61.410289892872406,211.80683547746983,10.045047655338195,4.033149517960893,16
Qwen/Qwen2.5-Coder-3B-Instruct,hf,cuda,humaneval,164,11,16,70.73170731707317,0.019927727980875505,71739.82073115182,0.0034684210550713817,22048949.265447866,72508,36124,1.2900756489146838,0.00811524748762585,123.2248309770962,353.4517727735443,27.940548398277976,1.9859323643879918,16
Qwen/Qwen2.5-Coder-3B-Instruct,hf,cuda,humaneval,164,6,32,70.1219512195122,0.01907732873774687,68678.38345588873,0.003320409066804843,19948355.845880486,77052,39660,2.5614322423934937,0.0069362551950771165,144.17001276275593,401.8171498358837,48.41007908185323,1.7316788566789898,16
